Time	EMG	Muscle Force
0	0	0.280341
0.001	0	0.280341
0.002	0	0.280341
0.003	0	0.279967
0.004	0	0.279967
0.005	0	0.279967
0.006	0	0.279967
0.007	0	0.279594
0.008	0	0.279594
0.009	0	0.279594
0.01	0	0.27922
0.011	0	0.27922
0.012	0	0.27922
0.013	0	0.278847
0.014	0	0.278847
0.015	0	0.278473
0.016	0	0.278473
0.017	0	0.278473
0.018	0	0.278473
0.019	0	0.278099
0.02	0	0.278099
0.021	0	0.278099
0.022	0	0.277726
0.023	0	0.277726
0.024	0	0.277726
0.025	0	0.277726
0.026	0	0.277726
0.027	0	0.277352
0.028	0	0.277352
0.029	0	0.277352
0.03	0	0.277352
0.031	0	0.277352
0.032	0	0.277352
0.033	0	0.277352
0.034	0	0.276978
0.035	0	0.276978
0.036	0	0.276978
0.037	0	0.276978
0.038	0	0.276978
0.039	0	0.276978
0.04	0	0.276978
0.041	0	0.276978
0.042	0	0.276978
0.043	0	0.276978
0.044	0	0.276978
0.045	0	0.276978
0.046	0	0.276978
0.047	0	0.276978
0.048	0	0.276605
0.049	0	0.276978
0.05	0	0.276978
0.051	-0.0609842	0.276978
0.052	-0.00891985	0.276978
0.053	0.0923461	0.276605
0.054	0.0485066	0.276978
0.055	-0.110337	0.276605
0.056	-0.0810398	0.276978
0.057	0.0288143	0.276605
0.058	0.0736197	0.276978
0.059	0.0862091	0.276978
0.06	0.0121397	0.276978
0.061	-0.0863503	0.276605
0.062	-0.141423	0.276978
0.063	0.0597831	0.276978
0.064	0.133603	0.276978
0.065	0.0406839	0.276605
0.066	-0.0615383	0.276605
0.067	-0.129081	0.276978
0.068	-0.0642728	0.276605
0.069	0.0814465	0.276978
0.07	0.214927	0.276978
0.071	0.0451057	0.276978
0.072	-0.167726	0.276978
0.073	-0.16508	0.276978
0.074	-0.00809469	0.276605
0.075	0.122715	0.276978
0.076	0.150016	0.276978
0.077	0.0118504	0.276978
0.078	-0.15361	0.276978
0.079	-0.131727	0.276978
0.08	0.0906093	0.276978
0.081	0.12318	0.276978
0.082	0.023679	0.276978
0.083	-0.0626634	0.276978
0.084	-0.0912276	0.276978
0.085	-0.0265743	0.276978
0.086	0.0915883	0.276978
0.087	0.141299	0.276978
0.088	-0.0646766	0.276978
