Time	EMG	Muscle Force
0	0	0.279967
0.001	0	0.279967
0.002	0	0.279967
0.003	0	0.279967
0.004	0	0.279967
0.005	0	0.279594
0.006	0	0.279594
0.007	0	0.279594
0.008	0	0.279594
0.009	0	0.27922
0.01	0	0.27922
0.011	0	0.27922
0.012	0	0.278847
0.013	0	0.278847
0.014	0	0.278847
0.015	0	0.278473
0.016	0	0.278473
0.017	0	0.278473
0.018	0	0.278473
0.019	0	0.278099
0.02	0	0.278099
0.021	0	0.278099
0.022	0	0.278099
0.023	0	0.277726
0.024	0	0.277726
0.025	0	0.277726
0.026	0	0.277726
0.027	0	0.277726
0.028	0	0.277352
0.029	0	0.277726
0.03	0	0.277352
0.031	0	0.277352
0.032	0	0.277352
0.033	0	0.277352
0.034	0	0.277352
0.035	0	0.277352
0.036	0	0.276978
0.037	0	0.276978
0.038	0	0.276978
0.039	0	0.276978
0.04	0	0.276978
0.041	0	0.276978
0.042	0	0.276978
0.043	0	0.276978
0.044	0	0.276978
0.045	0	0.276978
0.046	0	0.276605
0.047	0	0.276605
0.048	0	0.276978
0.049	0	0.276978
0.05	0	0.276978
0.051	0.182261	0.276605
0.052	-0.000140635	0.276605
0.053	-0.166439	0.276605
0.054	-0.107733	0.276605
0.055	0.0502364	0.276605
0.056	0.122559	0.276605
0.057	0.10302	0.276605
0.058	-0.018395	0.276605
0.059	-0.169035	0.276605
0.06	-0.11035	0.276605
0.061	0.113944	0.276605
0.062	0.131218	0.276605
0.063	0.0179103	0.276605
0.064	-0.0778398	0.276605
0.065	-0.108318	0.276605
0.066	-0.022254	0.276605
0.067	0.128838	0.276605
0.068	0.162824	0.276605
0.069	-0.0967863	0.276605
0.07	-0.18252	0.276605
0.071	-0.0512013	0.276605
0.072	0.0888889	0.276605
0.073	0.132237	0.276605
0.074	0.0709735	0.276605
0.075	-0.0613261	0.276605
0.076	-0.19269	0.276605
0.077	-0.0348885	0.276605
0.078	0.143153	0.276605
0.079	0.110171	0.276605
0.08	-0.0132034	0.276605
0.081	-0.11087	0.276605
0.082	-0.0912501	0.276605
0.083	0.0170131	0.276605
0.084	0.15995	0.276605
0.085	0.0971039	0.276605
0.086	-0.136036	0.276605
0.087	-0.158347	0.276605
0.088	0.00383079	0.276605
0.089	0.115577	0.276605
0.09	0.124678	0.276605
0.091	0.0251364	0.276605
0.092	-0.125942	0.276605
0.093	-0.187988	0.276605
0.094	0.0583642	0.276605
0.095	0.155623	0.276605
0.096	0.0727307	0.276605
0.097	-0.045118	0.276605
0.098	-0.111869	0.276605
0.099	-0.0596237	0.276605
0.1	0.0628963	0.276605
0.101	0.171112	0.276605
0.102	-0.0211338	0.276605
0.103	-0.173555	0.276605
0.104	-0.0951941	0.276605
0.105	0.0819138	0.276605
0.106	0.149128	0.276605
0.107	0.0701179	0.276605
0.108	-0.0597423	0.276605
0.109	-0.169209	0.276605
0.11	-0.0768703	0.276605
0.111	0.142676	0.276605
0.112	0.118079	0.276605
0.113	-0.00193773	0.276605
0.114	-0.0862562	0.276605
0.115	-0.111431	0.276605
0.116	-0.0156072	0.276605
0.117	0.136958	0.276605
0.118	0.158909	0.276605
0.119	-0.0986497	0.276978
0.12	-0.17717	0.276605
0.121	-0.0496423	0.276605
0.122	0.0978054	0.276605
0.123	0.124908	0.276605
0.124	0.0630809	0.276605
0.125	-0.0674856	0.276605
0.126	-0.191527	0.276605
0.127	-0.014024	0.276605
0.128	0.140146	0.276605
0.129	0.0848802	0.276605
0.13	-0.0201997	0.276605
0.131	-0.092427	0.276605
0.132	-0.0787423	0.276605
0.133	0.0291362	0.276605
0.134	0.165995	0.276605
0.135	0.0680723	0.276605
0.136	-0.153479	0.276605
0.137	-0.146987	0.276605
0.138	0.0153226	0.276605
0.139	0.11467	0.276605
0.14	0.120227	0.276605
0.141	0.0239912	0.276605
0.142	-0.125794	0.276605
0.143	-0.169143	0.276605
0.144	0.0675304	0.276605
0.145	0.148311	0.276605
0.146	0.0531247	0.276605
0.147	-0.0575124	0.276605
0.148	-0.115246	0.276605
0.149	-0.0536565	0.276605
0.15	0.0797057	0.276605
0.151	0.180532	0.276605
0.152	-0.0105882	0.276605
0.153	-0.167278	0.276605
0.154	-0.111004	0.276605
0.155	0.0491386	0.276605
0.156	0.125815	0.276605
0.157	0.101882	0.276605
0.158	-0.0177113	0.276605
0.159	-0.169636	0.276605
0.16	-0.100363	0.276605
0.161	0.127169	0.276605
0.162	0.127102	0.276605
0.163	0.00232623	0.276605
0.164	-0.0907217	0.276605
0.165	-0.111331	0.276605
0.166	-0.00902437	0.276605
0.167	0.137	0.276605
0.168	0.148115	0.276605
0.169	-0.0938698	0.276605
0.17	-0.167745	0.276605
0.171	-0.0441776	0.276605
0.172	0.085619	0.276605
0.173	0.127855	0.276605
0.174	0.0579117	0.276605
0.175	-0.082724	0.276605
0.176	-0.190002	0.276605
0.177	-0.00254318	0.276605
0.178	0.150646	0.276605
0.179	0.0950143	0.276605
0.18	-0.0220254	0.276605
0.181	-0.102918	0.276605
0.182	-0.090983	0.276605
0.183	0.014927	0.276605
0.184	0.163352	0.276605
0.185	0.080187	0.276605
0.186	-0.13291	0.276605
0.187	-0.13476	0.276605
0.188	0.00654921	0.276605
0.189	0.0953635	0.276605
0.19	0.111538	0.276605
0.191	0.0177208	0.276605
0.192	-0.120244	0.276605
0.193	-0.14957	0.276605
0.194	0.0750876	0.276605
0.195	0.140143	0.276605
0.196	0.0442892	0.276605
0.197	-0.0640598	0.276605
0.198	-0.115009	0.276605
0.199	-0.0457145	0.276605
0.2	0.0879184	0.276605
0.201	0.17856	0.276605
0.202	-0.0263729	0.276605
0.203	-0.168778	0.276605
0.204	-0.099322	0.276605
0.205	0.0503181	0.276605
0.206	0.125437	0.276605
0.207	0.105894	0.276605
0.208	-0.0212823	0.276605
0.209	-0.16971	0.276605
0.21	-0.0955886	0.276605
0.211	0.103348	0.276605
0.212	0.124034	0.276605
0.213	0.0247359	0.276605
0.214	-0.0889418	0.276605
0.215	-0.1044	0.276605
0.216	-0.00375276	0.276605
0.217	0.135093	0.276605
0.218	0.127776	0.276605
0.219	-0.109247	0.276605
0.22	-0.159897	0.276605
0.221	-0.0310295	0.276605
0.222	0.0877269	0.276605
0.223	0.126788	0.276605
0.224	0.062979	0.276605
0.225	-0.0774182	0.276605
0.226	-0.190416	0.276605
0.227	-0.00251483	0.276605
0.228	0.143633	0.276605
0.229	0.0874033	0.276605
0.23	-0.0246982	0.276605
0.231	-0.114919	0.276605
0.232	-0.0920293	0.276605
0.233	0.0452964	0.276605
0.234	0.188363	0.276605
0.235	0.07516	0.276605
0.236	-0.156468	0.276605
0.237	-0.159757	0.276605
0.238	0.00171653	0.276605
0.239	0.116592	0.276605
0.24	0.131798	0.276605
0.241	0.0267438	0.276605
0.242	-0.136167	0.276605
0.243	-0.168193	0.276605
0.244	0.0749146	0.276605
0.245	0.145696	0.276605
0.246	0.0467143	0.276605
0.247	-0.0553638	0.276605
0.248	-0.111849	0.276605
0.249	-0.0507291	0.276605
0.25	0.0863029	0.276605
0.251	0.179943	0.276605
0.252	-0.0366057	0.276605
0.253	-0.172442	0.276605
0.254	-0.0886716	0.276605
0.255	0.0564816	0.276605
0.256	0.123133	0.276605
0.257	0.100822	0.276605
0.258	-0.0244259	0.276605
0.259	-0.18275	0.276605
0.26	-0.0872129	0.276605
0.261	0.129666	0.276605
0.262	0.122838	0.276605
0.263	0.00573664	0.276605
0.264	-0.0934861	0.276605
0.265	-0.110495	0.276605
0.266	-0.00923753	0.276605
0.267	0.144497	0.276605
0.268	0.151985	0.276605
0.269	-0.103261	0.276605
0.27	-0.17613	0.276605
0.271	-0.0452633	0.276605
0.272	0.0871165	0.276605
0.273	0.13105	0.276605
0.274	0.065633	0.276605
0.275	-0.0797123	0.276605
0.276	-0.190778	0.276605
0.277	0.00422828	0.276605
0.278	0.153029	0.276605
0.279	0.0901626	0.276605
